GRID 10 12.0 120.0 10.0 2.0 15.0
DOOR DoorH_0_0 6.0 12.0 10.0 2.0 White
DOOR DoorV_0_0 12.0 6.0 2.0 10.0 Black
DOOR DoorH_0_1 6.0 24.0 10.0 2.0 Black
DOOR DoorV_0_1 12.0 18.0 2.0 10.0 Green
DOOR DoorH_0_2 6.0 36.0 10.0 2.0 Green
DOOR DoorV_0_2 12.0 30.0 2.0 10.0 Black
DOOR DoorH_0_3 6.0 48.0 10.0 2.0 Yellow
DOOR DoorV_0_3 12.0 42.0 2.0 10.0 Purple
DOOR DoorH_0_4 6.0 60.0 10.0 2.0 Blue
DOOR DoorV_0_4 12.0 54.0 2.0 10.0 Green
DOOR DoorH_0_5 6.0 72.0 10.0 2.0 Yellow
DOOR DoorV_0_5 12.0 66.0 2.0 10.0 Green
DOOR DoorH_0_6 6.0 84.0 10.0 2.0 Blue
DOOR DoorV_0_6 12.0 78.0 2.0 10.0 Green
DOOR DoorH_0_7 6.0 96.0 10.0 2.0 Purple
DOOR DoorV_0_7 12.0 90.0 2.0 10.0 Black
DOOR DoorH_0_8 6.0 108.0 10.0 2.0 Yellow
DOOR DoorV_0_8 12.0 102.0 2.0 10.0 Blue
DOOR DoorV_0_9 12.0 114.0 2.0 10.0 Green
DOOR DoorH_1_0 18.0 12.0 10.0 2.0 Yellow
DOOR DoorV_1_0 24.0 6.0 2.0 10.0 White
DOOR DoorH_1_1 18.0 24.0 10.0 2.0 Blue
DOOR DoorV_1_1 24.0 18.0 2.0 10.0 Purple
DOOR DoorH_1_2 18.0 36.0 10.0 2.0 White
DOOR DoorV_1_2 24.0 30.0 2.0 10.0 Yellow
DOOR DoorH_1_3 18.0 48.0 10.0 2.0 Blue
DOOR DoorV_1_3 24.0 42.0 2.0 10.0 Black
DOOR DoorH_1_4 18.0 60.0 10.0 2.0 Yellow
DOOR DoorV_1_4 24.0 54.0 2.0 10.0 Purple
DOOR DoorH_1_5 18.0 72.0 10.0 2.0 Blue
DOOR DoorV_1_5 24.0 66.0 2.0 10.0 Purple
DOOR DoorH_1_6 18.0 84.0 10.0 2.0 Yellow
DOOR DoorV_1_6 24.0 78.0 2.0 10.0 Purple
DOOR DoorH_1_7 18.0 96.0 10.0 2.0 Purple
DOOR DoorV_1_7 24.0 90.0 2.0 10.0 Green
DOOR DoorH_1_8 18.0 108.0 10.0 2.0 Yellow
DOOR DoorV_1_8 24.0 102.0 2.0 10.0 Green
DOOR DoorV_1_9 24.0 114.0 2.0 10.0 Blue
DOOR DoorH_2_0 30.0 12.0 10.0 2.0 Yellow
DOOR DoorV_2_0 36.0 6.0 2.0 10.0 White
DOOR DoorH_2_1 30.0 24.0 10.0 2.0 Blue
DOOR DoorV_2_1 36.0 18.0 2.0 10.0 Blue
DOOR DoorH_2_2 30.0 36.0 10.0 2.0 Green
DOOR DoorV_2_2 36.0 30.0 2.0 10.0 Blue
DOOR DoorH_2_3 30.0 48.0 10.0 2.0 White
DOOR DoorV_2_3 36.0 42.0 2.0 10.0 Yellow
DOOR DoorH_2_4 30.0 60.0 10.0 2.0 Blue
DOOR DoorV_2_4 36.0 54.0 2.0 10.0 Black
DOOR DoorH_2_5 30.0 72.0 10.0 2.0 Yellow
DOOR DoorV_2_5 36.0 66.0 2.0 10.0 Green
DOOR DoorH_2_6 30.0 84.0 10.0 2.0 Blue
DOOR DoorV_2_6 36.0 78.0 2.0 10.0 Green
DOOR DoorH_2_7 30.0 96.0 10.0 2.0 Black
DOOR DoorV_2_7 36.0 90.0 2.0 10.0 Black
DOOR DoorH_2_8 30.0 108.0 10.0 2.0 Yellow
DOOR DoorV_2_8 36.0 102.0 2.0 10.0 White
DOOR DoorV_2_9 36.0 114.0 2.0 10.0 Green
DOOR DoorH_3_0 42.0 12.0 10.0 2.0 Black
DOOR DoorV_3_0 48.0 6.0 2.0 10.0 Green
DOOR DoorH_3_1 42.0 24.0 10.0 2.0 Purple
DOOR DoorV_3_1 48.0 18.0 2.0 10.0 Green
DOOR DoorH_3_2 42.0 36.0 10.0 2.0 Blue
DOOR DoorV_3_2 48.0 30.0 2.0 10.0 Green
DOOR DoorH_3_3 42.0 48.0 10.0 2.0 Purple
DOOR DoorV_3_3 48.0 42.0 2.0 10.0 Black
DOOR DoorH_3_4 42.0 60.0 10.0 2.0 White
DOOR DoorV_3_4 48.0 54.0 2.0 10.0 Green
DOOR DoorH_3_5 42.0 72.0 10.0 2.0 Blue
DOOR DoorV_3_5 48.0 66.0 2.0 10.0 White
DOOR DoorH_3_6 42.0 84.0 10.0 2.0 Purple
DOOR DoorV_3_6 48.0 78.0 2.0 10.0 Yellow
DOOR DoorH_3_7 42.0 96.0 10.0 2.0 Yellow
DOOR DoorV_3_7 48.0 90.0 2.0 10.0 White
DOOR DoorH_3_8 42.0 108.0 10.0 2.0 White
DOOR DoorV_3_8 48.0 102.0 2.0 10.0 Purple
DOOR DoorV_3_9 48.0 114.0 2.0 10.0 Black
DOOR DoorH_4_0 54.0 12.0 10.0 2.0 Blue
DOOR DoorV_4_0 60.0 6.0 2.0 10.0 Black
DOOR DoorH_4_1 54.0 24.0 10.0 2.0 Black
DOOR DoorV_4_1 60.0 18.0 2.0 10.0 Black
DOOR DoorH_4_2 54.0 36.0 10.0 2.0 Black
DOOR DoorV_4_2 60.0 30.0 2.0 10.0 Yellow
DOOR DoorH_4_3 54.0 48.0 10.0 2.0 White
DOOR DoorV_4_3 60.0 42.0 2.0 10.0 Purple
DOOR DoorH_4_4 54.0 60.0 10.0 2.0 Yellow
DOOR DoorV_4_4 60.0 54.0 2.0 10.0 Blue
DOOR DoorH_4_5 54.0 72.0 10.0 2.0 Black
DOOR DoorV_4_5 60.0 66.0 2.0 10.0 Green
DOOR DoorH_4_6 54.0 84.0 10.0 2.0 Purple
DOOR DoorV_4_6 60.0 78.0 2.0 10.0 White
DOOR DoorH_4_7 54.0 96.0 10.0 2.0 Yellow
DOOR DoorV_4_7 60.0 90.0 2.0 10.0 Black
DOOR DoorH_4_8 54.0 108.0 10.0 2.0 Black
DOOR DoorV_4_8 60.0 102.0 2.0 10.0 White
DOOR DoorV_4_9 60.0 114.0 2.0 10.0 Purple
DOOR DoorH_5_0 66.0 12.0 10.0 2.0 Yellow
DOOR DoorV_5_0 72.0 6.0 2.0 10.0 Yellow
DOOR DoorH_5_1 66.0 24.0 10.0 2.0 Yellow
DOOR DoorV_5_1 72.0 18.0 2.0 10.0 Purple
DOOR DoorH_5_2 66.0 36.0 10.0 2.0 Green
DOOR DoorV_5_2 72.0 30.0 2.0 10.0 Purple
DOOR DoorH_5_3 66.0 48.0 10.0 2.0 Yellow
DOOR DoorV_5_3 72.0 42.0 2.0 10.0 Blue
DOOR DoorH_5_4 66.0 60.0 10.0 2.0 Black
DOOR DoorV_5_4 72.0 54.0 2.0 10.0 Black
DOOR DoorH_5_5 66.0 72.0 10.0 2.0 Purple
DOOR DoorV_5_5 72.0 66.0 2.0 10.0 White
DOOR DoorH_5_6 66.0 84.0 10.0 2.0 White
DOOR DoorV_5_6 72.0 78.0 2.0 10.0 Blue
DOOR DoorH_5_7 66.0 96.0 10.0 2.0 Purple
DOOR DoorV_5_7 72.0 90.0 2.0 10.0 Yellow
DOOR DoorH_5_8 66.0 108.0 10.0 2.0 White
DOOR DoorV_5_8 72.0 102.0 2.0 10.0 Blue
DOOR DoorV_5_9 72.0 114.0 2.0 10.0 Black
DOOR DoorH_6_0 78.0 12.0 10.0 2.0 White
DOOR DoorV_6_0 84.0 6.0 2.0 10.0 White
DOOR DoorH_6_1 78.0 24.0 10.0 2.0 White
DOOR DoorV_6_1 84.0 18.0 2.0 10.0 White
DOOR DoorH_6_2 78.0 36.0 10.0 2.0 White
DOOR DoorV_6_2 84.0 30.0 2.0 10.0 White
DOOR DoorH_6_3 78.0 48.0 10.0 2.0 Purple
DOOR DoorV_6_3 84.0 42.0 2.0 10.0 Black
DOOR DoorH_6_4 78.0 60.0 10.0 2.0 Blue
DOOR DoorV_6_4 84.0 54.0 2.0 10.0 White
DOOR DoorH_6_5 78.0 72.0 10.0 2.0 Black
DOOR DoorV_6_5 84.0 66.0 2.0 10.0 Yellow
DOOR DoorH_6_6 78.0 84.0 10.0 2.0 White
DOOR DoorV_6_6 84.0 78.0 2.0 10.0 Green
DOOR DoorH_6_7 78.0 96.0 10.0 2.0 White
DOOR DoorV_6_7 84.0 90.0 2.0 10.0 Purple
DOOR DoorH_6_8 78.0 108.0 10.0 2.0 Black
DOOR DoorV_6_8 84.0 102.0 2.0 10.0 Purple
DOOR DoorV_6_9 84.0 114.0 2.0 10.0 Yellow
DOOR DoorH_7_0 90.0 12.0 10.0 2.0 White
DOOR DoorV_7_0 96.0 6.0 2.0 10.0 White
DOOR DoorH_7_1 90.0 24.0 10.0 2.0 White
DOOR DoorV_7_1 96.0 18.0 2.0 10.0 Green
DOOR DoorH_7_2 90.0 36.0 10.0 2.0 Blue
DOOR DoorV_7_2 96.0 30.0 2.0 10.0 Green
DOOR DoorH_7_3 90.0 48.0 10.0 2.0 Yellow
DOOR DoorV_7_3 96.0 42.0 2.0 10.0 Green
DOOR DoorH_7_4 90.0 60.0 10.0 2.0 Black
DOOR DoorV_7_4 96.0 54.0 2.0 10.0 Purple
DOOR DoorH_7_5 90.0 72.0 10.0 2.0 Purple
DOOR DoorV_7_5 96.0 66.0 2.0 10.0 Black
DOOR DoorH_7_6 90.0 84.0 10.0 2.0 White
DOOR DoorV_7_6 96.0 78.0 2.0 10.0 Black
DOOR DoorH_7_7 90.0 96.0 10.0 2.0 Green
DOOR DoorV_7_7 96.0 90.0 2.0 10.0 Black
DOOR DoorH_7_8 90.0 108.0 10.0 2.0 Black
DOOR DoorV_7_8 96.0 102.0 2.0 10.0 White
DOOR DoorV_7_9 96.0 114.0 2.0 10.0 White
DOOR DoorH_8_0 102.0 12.0 10.0 2.0 Green
DOOR DoorV_8_0 108.0 6.0 2.0 10.0 Green
DOOR DoorH_8_1 102.0 24.0 10.0 2.0 Green
DOOR DoorV_8_1 108.0 18.0 2.0 10.0 Green
DOOR DoorH_8_2 102.0 36.0 10.0 2.0 Blue
DOOR DoorV_8_2 108.0 30.0 2.0 10.0 Green
DOOR DoorH_8_3 102.0 48.0 10.0 2.0 White
DOOR DoorV_8_3 108.0 42.0 2.0 10.0 Purple
DOOR DoorH_8_4 102.0 60.0 10.0 2.0 Green
DOOR DoorV_8_4 108.0 54.0 2.0 10.0 White
DOOR DoorH_8_5 102.0 72.0 10.0 2.0 White
DOOR DoorV_8_5 108.0 66.0 2.0 10.0 Blue
DOOR DoorH_8_6 102.0 84.0 10.0 2.0 White
DOOR DoorV_8_6 108.0 78.0 2.0 10.0 White
DOOR DoorH_8_7 102.0 96.0 10.0 2.0 Black
DOOR DoorV_8_7 108.0 90.0 2.0 10.0 Black
DOOR DoorH_8_8 102.0 108.0 10.0 2.0 Green
DOOR DoorV_8_8 108.0 102.0 2.0 10.0 Yellow
DOOR DoorV_8_9 108.0 114.0 2.0 10.0 White
DOOR DoorH_9_0 114.0 12.0 10.0 2.0 Green
DOOR DoorH_9_1 114.0 24.0 10.0 2.0 Green
DOOR DoorH_9_2 114.0 36.0 10.0 2.0 Purple
DOOR DoorH_9_3 114.0 48.0 10.0 2.0 Blue
DOOR DoorH_9_4 114.0 60.0 10.0 2.0 Yellow
DOOR DoorH_9_5 114.0 72.0 10.0 2.0 Yellow
DOOR DoorH_9_6 114.0 84.0 10.0 2.0 Blue
DOOR DoorH_9_7 114.0 96.0 10.0 2.0 Black
DOOR DoorH_9_8 114.0 108.0 10.0 2.0 Purple
PAD Pad_Z1_Blue 24.0 20.0 Blue 1
PAD Pad_Z1_Purple 22.0 23.464 Purple 1
PAD Pad_Z1_Green 18.0 23.464 Green 1
PAD Pad_Z1_Yellow 16.0 20.0 Yellow 1
PAD Pad_Z1_Black 18.0 16.536 Black 1
PAD Pad_Z1_White 22.0 16.536 White 1
PAD Pad_Z2_Blue 64.0 20.0 Blue 2
PAD Pad_Z2_Purple 62.0 23.464 Purple 2
PAD Pad_Z2_Green 58.0 23.464 Green 2
PAD Pad_Z2_Yellow 56.0 20.0 Yellow 2
PAD Pad_Z2_Black 58.0 16.536 Black 2
PAD Pad_Z2_White 62.0 16.536 White 2
PAD Pad_Z3_Blue 104.0 20.0 Blue 3
PAD Pad_Z3_Purple 102.0 23.464 Purple 3
PAD Pad_Z3_Green 98.0 23.464 Green 3
PAD Pad_Z3_Yellow 96.0 20.0 Yellow 3
PAD Pad_Z3_Black 98.0 16.536 Black 3
PAD Pad_Z3_White 102.0 16.536 White 3
PAD Pad_Z4_Blue 24.0 60.0 Blue 4
PAD Pad_Z4_Purple 22.0 63.464 Purple 4
PAD Pad_Z4_Green 18.0 63.464 Green 4
PAD Pad_Z4_Yellow 16.0 60.0 Yellow 4
PAD Pad_Z4_Black 18.0 56.536 Black 4
PAD Pad_Z4_White 22.0 56.536 White 4
PAD Pad_Z5_Blue 64.0 60.0 Blue 5
PAD Pad_Z5_Purple 62.0 63.464 Purple 5
PAD Pad_Z5_Green 58.0 63.464 Green 5
PAD Pad_Z5_Yellow 56.0 60.0 Yellow 5
PAD Pad_Z5_Black 58.0 56.536 Black 5
PAD Pad_Z5_White 62.0 56.536 White 5
PAD Pad_Z6_Blue 104.0 60.0 Blue 6
PAD Pad_Z6_Purple 102.0 63.464 Purple 6
PAD Pad_Z6_Green 98.0 63.464 Green 6
PAD Pad_Z6_Yellow 96.0 60.0 Yellow 6
PAD Pad_Z6_Black 98.0 56.536 Black 6
PAD Pad_Z6_White 102.0 56.536 White 6
PAD Pad_Z7_Blue 24.0 100.0 Blue 7
PAD Pad_Z7_Purple 22.0 103.464 Purple 7
PAD Pad_Z7_Green 18.0 103.464 Green 7
PAD Pad_Z7_Yellow 16.0 100.0 Yellow 7
PAD Pad_Z7_Black 18.0 96.536 Black 7
PAD Pad_Z7_White 22.0 96.536 White 7
PAD Pad_Z8_Blue 64.0 100.0 Blue 8
PAD Pad_Z8_Purple 62.0 103.464 Purple 8
PAD Pad_Z8_Green 58.0 103.464 Green 8
PAD Pad_Z8_Yellow 56.0 100.0 Yellow 8
PAD Pad_Z8_Black 58.0 96.536 Black 8
PAD Pad_Z8_White 62.0 96.536 White 8
PAD Pad_Z9_Blue 104.0 100.0 Blue 9
PAD Pad_Z9_Purple 102.0 103.464 Purple 9
PAD Pad_Z9_Green 98.0 103.464 Green 9
PAD Pad_Z9_Yellow 96.0 100.0 Yellow 9
PAD Pad_Z9_Black 98.0 96.536 Black 9
PAD Pad_Z9_White 102.0 96.536 White 9
